epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1117.4,0.83233,0.71585,1.37635,0.90461,0.89794,0.94652,0.72778,0.81188,0.63186,1.62335,0.0005941,0.0005941,0.0005941
43,1143.52,0.83038,0.68808,1.3806,0.90449,0.87966,0.94817,0.73146,0.81465,0.6543,1.61373,0.0005842,0.0005842,0.0005842
44,1169.69,0.84158,0.70228,1.39623,0.86726,0.93316,0.95061,0.72994,0.82627,0.60679,1.62935,0.0005743,0.0005743,0.0005743
45,1195.84,0.80939,0.66911,1.36192,0.93788,0.86634,0.95851,0.74383,0.73448,0.55625,1.54294,0.0005644,0.0005644,0.0005644
46,1221.77,0.80624,0.64895,1.35171,0.87256,0.90388,0.96382,0.74912,0.74295,0.53555,1.54777,0.0005545,0.0005545,0.0005545
47,1247.18,0.82057,0.6599,1.3681,0.96004,0.91099,0.97691,0.74081,0.8692,0.52372,1.65472,0.0005446,0.0005446,0.0005446
48,1273.38,0.82498,0.68966,1.36948,0.92845,0.92667,0.97497,0.75559,0.79621,0.57254,1.59278,0.0005347,0.0005347,0.0005347
49,1299.62,0.83943,0.66011,1.37472,0.89904,0.89646,0.9523,0.7495,0.77489,0.54291,1.55895,0.0005248,0.0005248,0.0005248
50,1325.61,0.85479,0.64918,1.38951,0.96006,0.884,0.96106,0.76261,0.77334,0.49651,1.56276,0.0005149,0.0005149,0.0005149
51,1351.75,0.8067,0.65348,1.35011,0.95659,0.89397,0.96957,0.7588,0.75268,0.58159,1.56182,0.000505,0.000505,0.000505
52,1377.51,0.8082,0.65238,1.36175,0.88366,0.90382,0.96035,0.74457,0.78177,0.63516,1.59337,0.0004951,0.0004951,0.0004951
53,1403.15,0.79874,0.65083,1.35242,0.94411,0.9295,0.97677,0.77404,0.7597,0.5051,1.58374,0.0004852,0.0004852,0.0004852
54,1429.41,0.79799,0.64962,1.35065,0.92984,0.93511,0.97639,0.74927,0.78598,0.46277,1.58495,0.0004753,0.0004753,0.0004753
55,1455.6,0.81266,0.62493,1.37371,0.97629,0.90808,0.9761,0.7484,0.87352,0.49005,1.6766,0.0004654,0.0004654,0.0004654
56,1481.9,0.79818,0.64747,1.34908,0.96946,0.92848,0.98048,0.76965,0.72822,0.51726,1.50043,0.0004555,0.0004555,0.0004555
57,1507.92,0.75252,0.58492,1.32204,0.95953,0.93045,0.97297,0.7644,0.77448,0.49354,1.57218,0.0004456,0.0004456,0.0004456
58,1533.06,0.78859,0.59384,1.35202,0.95869,0.92766,0.96069,0.74574,0.77852,0.48839,1.58232,0.0004357,0.0004357,0.0004357
59,1558.94,0.76946,0.57588,1.32597,0.94732,0.91607,0.9649,0.76359,0.76987,0.48978,1.55461,0.0004258,0.0004258,0.0004258
60,1585.08,0.77478,0.59125,1.33235,0.95975,0.92139,0.98272,0.74759,0.84742,0.45337,1.64857,0.0004159,0.0004159,0.0004159
61,1611.25,0.77352,0.60123,1.32607,0.92515,0.93461,0.96937,0.76818,0.71471,0.49776,1.51166,0.000406,0.000406,0.000406
62,1637.21,0.75316,0.58813,1.32139,0.97036,0.92401,0.97681,0.77316,0.77465,0.49066,1.59099,0.0003961,0.0003961,0.0003961
63,1662.3,0.76459,0.58866,1.32123,0.94789,0.94964,0.97791,0.76711,0.81132,0.45726,1.63606,0.0003862,0.0003862,0.0003862
64,1689.53,0.76429,0.57796,1.32568,0.95089,0.95277,0.97694,0.7677,0.78056,0.54971,1.59108,0.0003763,0.0003763,0.0003763
65,1715.83,0.76418,0.57924,1.32302,0.96424,0.95287,0.97846,0.7826,0.76339,0.45236,1.55922,0.0003664,0.0003664,0.0003664
66,1741.99,0.73901,0.56247,1.30276,0.94976,0.94492,0.98199,0.78007,0.72385,0.47309,1.52777,0.0003565,0.0003565,0.0003565
67,1768.19,0.73258,0.5574,1.29659,0.97065,0.90816,0.97934,0.7788,0.67331,0.47295,1.48929,0.0003466,0.0003466,0.0003466
68,1793.86,0.7523,0.5663,1.31236,0.9587,0.94176,0.98064,0.78826,0.72529,0.44246,1.50887,0.0003367,0.0003367,0.0003367
69,1819.5,0.74577,0.55568,1.31458,0.94541,0.94765,0.97019,0.76257,0.72591,0.48692,1.5171,0.0003268,0.0003268,0.0003268
70,1845.54,0.7316,0.52344,1.29692,0.9622,0.95482,0.97729,0.78813,0.68397,0.48203,1.48795,0.0003169,0.0003169,0.0003169
71,1871.63,0.74026,0.52468,1.30192,0.93997,0.93216,0.96851,0.76866,0.72329,0.5113,1.5024,0.000307,0.000307,0.000307
72,1897.69,0.7355,0.53011,1.29062,0.93645,0.93596,0.97803,0.77956,0.71944,0.48073,1.51681,0.0002971,0.0002971,0.0002971
73,1923.92,0.72285,0.53584,1.29765,0.93061,0.95751,0.97323,0.78381,0.68463,0.48411,1.45454,0.0002872,0.0002872,0.0002872
74,1949.23,0.70835,0.5208,1.28256,0.90988,0.95064,0.97679,0.7919,0.68298,0.44809,1.47012,0.0002773,0.0002773,0.0002773
75,1975.13,0.73358,0.554,1.30027,0.97049,0.96416,0.98589,0.7957,0.72556,0.40401,1.51243,0.0002674,0.0002674,0.0002674
76,2001.25,0.72519,0.54449,1.295,0.96053,0.93757,0.98342,0.78864,0.71471,0.41365,1.50052,0.0002575,0.0002575,0.0002575
77,2027.3,0.71383,0.51362,1.28679,0.95324,0.92585,0.97934,0.7894,0.67165,0.4955,1.45083,0.0002476,0.0002476,0.0002476
78,2053.48,0.71577,0.51745,1.29026,0.96492,0.92507,0.98287,0.79848,0.66707,0.44808,1.4686,0.0002377,0.0002377,0.0002377
79,2078.6,0.69934,0.49613,1.28063,0.94441,0.95766,0.97683,0.79164,0.68903,0.41408,1.47162,0.0002278,0.0002278,0.0002278
80,2104.47,0.72075,0.52825,1.28546,0.96766,0.92238,0.98117,0.7815,0.6924,0.46126,1.48073,0.0002179,0.0002179,0.0002179
81,2130.24,0.70353,0.51407,1.28651,0.91451,0.96468,0.97583,0.78473,0.7265,0.43733,1.52151,0.000208,0.000208,0.000208
82,2156.28,0.70115,0.49698,1.28458,0.94039,0.92965,0.97342,0.77226,0.72565,0.44996,1.53605,0.0001981,0.0001981,0.0001981
83,2181.93,0.68789,0.49126,1.26509,0.94262,0.94217,0.9718,0.77408,0.72722,0.47582,1.54382,0.0001882,0.0001882,0.0001882
84,2206.81,0.69686,0.48989,1.27098,0.92572,0.94529,0.96811,0.76936,0.74106,0.46886,1.53192,0.0001783,0.0001783,0.0001783
85,2232.64,0.68899,0.50859,1.26143,0.96165,0.91492,0.97313,0.77385,0.72552,0.46513,1.52643,0.0001684,0.0001684,0.0001684
86,2258.41,0.68119,0.47822,1.25601,0.92598,0.96939,0.97753,0.78896,0.71541,0.44089,1.49526,0.0001585,0.0001585,0.0001585
87,2284.37,0.66952,0.49459,1.26432,0.95736,0.94189,0.97554,0.78524,0.69833,0.44693,1.48927,0.0001486,0.0001486,0.0001486
88,2309.04,0.66344,0.47262,1.2437,0.9699,0.92373,0.97522,0.78612,0.68637,0.44609,1.48465,0.0001387,0.0001387,0.0001387
89,2334.36,0.67703,0.48996,1.24902,0.95994,0.93218,0.97772,0.78734,0.71186,0.42658,1.49872,0.0001288,0.0001288,0.0001288
90,2360.2,0.67335,0.47482,1.26405,0.98387,0.9088,0.97761,0.7823,0.73614,0.45481,1.51926,0.0001189,0.0001189,0.0001189
91,2387.61,0.50174,0.35962,1.26002,0.96746,0.91571,0.9777,0.77948,0.69782,0.45864,1.51311,0.000109,0.000109,0.000109
92,2412.98,0.49674,0.32449,1.2718,0.96475,0.92537,0.97743,0.77016,0.74685,0.43177,1.56673,9.91e-05,9.91e-05,9.91e-05
93,2437.55,0.49427,0.31472,1.24636,0.97291,0.93033,0.9817,0.77111,0.75237,0.45345,1.60856,8.92e-05,8.92e-05,8.92e-05
94,2462.78,0.47577,0.30812,1.24343,0.94886,0.94198,0.9756,0.76688,0.73381,0.46208,1.57047,7.93e-05,7.93e-05,7.93e-05
95,2488.23,0.47573,0.30013,1.22111,0.93793,0.93588,0.97437,0.77614,0.72094,0.4501,1.56041,6.94e-05,6.94e-05,6.94e-05
96,2513.67,0.46978,0.28114,1.23646,0.9384,0.93415,0.97743,0.77449,0.73189,0.43756,1.55244,5.95e-05,5.95e-05,5.95e-05
97,2538.14,0.45275,0.2856,1.22328,0.9411,0.94193,0.97617,0.78049,0.72773,0.41753,1.55202,4.96e-05,4.96e-05,4.96e-05
98,2563.05,0.46049,0.27883,1.21083,0.92922,0.95251,0.97273,0.78465,0.71904,0.45326,1.54213,3.97e-05,3.97e-05,3.97e-05
99,2588.51,0.4567,0.28119,1.21769,0.94585,0.9493,0.97864,0.78731,0.71405,0.43533,1.54364,2.98e-05,2.98e-05,2.98e-05
100,2613.8,0.44933,0.27863,1.20172,0.94633,0.94978,0.97794,0.78425,0.71554,0.43368,1.54275,1.99e-05,1.99e-05,1.99e-05
